gene,old_mean_log1p_CP10K,new_mean_log1p_CP10K,delta_new_minus_old,old_total,new_total,abs_delta
PPT1,0.34444997,0.40223774,0.057787776,593.0,1204.0,0.057787776
UBE2N,0.7242245,0.78193736,0.057712853,1497.0,2581.0,0.057712853
ANKHD1,0.07863376,0.021029219,-0.057604544,125.0,64.0,0.057604544
MARK3,0.19593127,0.13834798,-0.057583287,321.0,317.0,0.057583287
PLAGL1,0.3690702,0.31156027,-0.05750993,649.0,947.0,0.05750993
PCMT1,0.50905293,0.5665015,0.057448566,961.0,1857.0,0.057448566
PTMS,0.48148924,0.5387492,0.057259977,997.0,1092.0,0.057259977
XYLB,0.07815031,0.020960411,-0.057189897,136.0,83.0,0.057189897
EPB41L4B,0.057606164,0.00041669383,-0.057189472,101.0,2.0,0.057189472
AMOTL2,0.0595948,0.0024380975,-0.0571567,103.0,6.0,0.0571567
CFAP20,0.28666204,0.34366772,0.057005674,482.0,1000.0,0.057005674
ATP6AP1,0.3452668,0.4022568,0.056989998,624.0,1294.0,0.056989998
RBM22,0.3213277,0.37829238,0.056964695,558.0,1132.0,0.056964695
TRIM28,0.40778342,0.4646092,0.056825787,723.0,1283.0,0.056825787
SLC25A36,0.41684613,0.47353837,0.056692243,761.0,1431.0,0.056692243
ORMDL2,0.23573117,0.29236683,0.056635663,389.0,946.0,0.056635663
BOLA3,0.4014006,0.45800978,0.056609184,729.0,1440.0,0.056609184
OTC,0.31031737,0.36691844,0.056601077,564.0,1165.0,0.056601077
APH1A,0.6103834,0.6669842,0.05660081,1235.0,2082.0,0.05660081
CFAP36,0.24634387,0.3029364,0.05659254,410.0,773.0,0.05659254
SEC23A,0.28080013,0.22424214,-0.056557998,464.0,624.0,0.056557998
SLC35F6,0.056525562,0.0,-0.056525562,82.0,0.0,0.056525562
KLK1,0.21661966,0.2731317,0.056512043,361.0,661.0,0.056512043
ERCC1,0.38007858,0.43653974,0.056461155,664.0,1357.0,0.056461155
FERMT1,0.31535563,0.3717809,0.056425273,547.0,1141.0,0.056425273
SF3A2,0.38632452,0.44270632,0.05638179,700.0,1385.0,0.05638179
GTF2A2,0.53355175,0.5899279,0.05637616,1037.0,1906.0,0.05637616
COA5,0.31768486,0.37402695,0.056342095,558.0,1026.0,0.056342095
MTTP,0.65697795,0.71327615,0.056298196,1423.0,2512.0,0.056298196
TTTY14,0.09093615,0.0346896,-0.056246545,147.0,109.0,0.056246545
GPM6B,0.06330817,0.0071217893,-0.05618638,91.0,9.0,0.05618638
PLTP,0.22696938,0.28310317,0.05613379,406.0,665.0,0.05613379
JUNB,0.9358364,0.99196064,0.05612427,3427.0,7631.0,0.05612427
MIR194-2HG,0.060358904,0.004332742,-0.05602616,87.0,11.0,0.05602616
CORO1C,0.1451937,0.08918422,-0.05600948,234.0,234.0,0.05600948
RRP1,0.24839242,0.30437174,0.055979326,428.0,936.0,0.055979326
ZNF500,0.05865304,0.0027950997,-0.05585794,85.0,5.0,0.05585794
SLC43A3,0.057338856,0.00149965,-0.055839207,94.0,1.0,0.055839207
POU2F1,0.12640694,0.07076782,-0.055639118,204.0,154.0,0.055639118
HLA-DRA,0.055574216,0.0,-0.055574216,87.0,0.0,0.055574216
GABARAP,0.1899602,0.13468619,-0.05527401,429.0,375.0,0.05527401
EIF3E,2.8296971,2.884943,0.055245876,18635.0,31609.0,0.055245876
ZNF622,0.23617338,0.29135847,0.055185094,389.0,888.0,0.055185094
SUDS3,0.29677486,0.35181284,0.055037975,492.0,967.0,0.055037975
SGO1,0.06522692,0.010213083,-0.055013835,111.0,32.0,0.055013835
GATAD2B,0.055003393,0.0,-0.055003393,96.0,0.0,0.055003393
HMGB2,0.70134735,0.75624424,0.05489689,1671.0,2468.0,0.05489689
POLR2K,0.5329336,0.587806,0.054872394,1003.0,1866.0,0.054872394
TMEM220-AS1,0.058465254,0.0036139388,-0.054851316,87.0,9.0,0.054851316
LINC01089,0.05497328,0.00021638782,-0.05475689,81.0,1.0,0.05475689
AFF4,0.22383563,0.16910595,-0.054729685,385.0,448.0,0.054729685
FARP2,0.085541524,0.030813048,-0.05472848,138.0,86.0,0.05472848
ZCRB1,0.44834727,0.5030289,0.05468166,834.0,1431.0,0.05468166
SLC16A1-AS1,0.0664002,0.011836517,-0.054563683,100.0,22.0,0.054563683
BEX2,0.47971433,0.5342191,0.054504752,954.0,1985.0,0.054504752
STUB1,0.33037806,0.38484213,0.054464072,588.0,889.0,0.054464072
FGF7,0.056787193,0.0024005545,-0.054386638,88.0,7.0,0.054386638
FASTK,0.28368762,0.3380519,0.054364264,494.0,1047.0,0.054364264
C1QBP,1.0025089,1.0568227,0.05431378,2649.0,2850.0,0.05431378
ATG3,0.33034357,0.3844428,0.054099232,582.0,1157.0,0.054099232
SUB1,1.4896216,1.5435327,0.05391109,4480.0,7352.0,0.05391109
CDK10,0.3598584,0.41376352,0.05390513,626.0,1200.0,0.05390513
TRIO,0.06004383,0.0061460603,-0.05389777,101.0,15.0,0.05389777
CPOX,0.05387896,0.0,-0.05387896,89.0,0.0,0.05387896
HAUS7,0.0538751,0.0,-0.0538751,89.0,0.0,0.0538751
RANBP1,1.3626145,1.4162706,0.0536561,4196.0,6350.0,0.0536561
CNBD2,0.053520262,0.0,-0.053520262,84.0,0.0,0.053520262
ADTRP,0.05717883,0.0036871084,-0.05349172,96.0,13.0,0.05349172
LPCAT3,0.24756521,0.3010108,0.053445578,446.0,995.0,0.053445578
