,category,gene_program,p_h0,p_h1,log_bayes_factor
163,11,COL11A1_ligand_receptor_target_gene_GP,0.9213475461903543,0.0786524538096457,2.460798494366285
164,3,GREM1_combined_GP,0.07884668449491994,0.9211533155050801,-2.458121224468378
165,9,IL22_combined_GP,0.9210102603644049,0.07898973963559508,2.4561532106407893
166,0,IFNG_combined_GP,0.9207884904973825,0.07921150950261746,2.4531087475932725
167,11,gamma-Aminobutyric acid_metabolite_enzyme_sensor_GP,0.9202358126850683,0.07976418731493173,2.445555332114689
168,2,AZGP1_combined_GP,0.08083807435125344,0.9191619256487465,-2.431014232724992
169,11,COL17A1_combined_GP,0.9188205672747594,0.08117943272524064,2.4264289319615133
170,0,IL22_combined_GP,0.9181645745365032,0.08183542546349676,2.417666425650685
171,9,EPCAM_ligand_receptor_target_gene_GP,0.9179617976634347,0.08203820233656534,2.414970754069666
172,11,Add-on_35_GP,0.08226534108766106,0.917734658912339,-2.4119584162131
173,9,CADM2_ligand_receptor_target_gene_GP,0.9172057102574573,0.08279428974254266,2.404972682151888
174,7,GREM1_combined_GP,0.9171192368383144,0.08288076316168558,2.4038345065592357
175,11,GUCA2B_combined_GP,0.9162733900860076,0.08372660991399239,2.3927579338363802
176,3,NRG3_combined_GP,0.08385848618754159,0.9161415138124585,-2.3910401538757253
177,11,PAPLN_ligand_receptor_target_gene_GP,0.9156542191435945,0.08434578085640554,2.384714015122614
178,10,CD24_ligand_receptor_target_gene_GP,0.08498554620850211,0.9150144537914979,-2.3764586642082883
179,9,CEACAM1_ligand_receptor_target_gene_GP,0.9131658751482461,0.0868341248517539,2.352917857656332
180,9,HHLA2_combined_GP,0.08735783814904736,0.9126421618509526,-2.346331101892937
181,14,THBS1_combined_GP,0.9123853765923604,0.08761462340763959,2.343114544975238
182,2,LEFTY1_combined_GP,0.9122480872115075,0.08775191278849248,2.341398318255174
183,6,PAPLN_ligand_receptor_target_gene_GP,0.08784490560567998,0.91215509439432,-2.340237211987407
184,5,LGALS9_combined_GP,0.91176814230074,0.08823185769926001,2.3354176316081734
185,0,UCN3_combined_GP,0.0884117121944383,0.9115882878055617,-2.333183997570483
186,5,APOB_combined_GP,0.08889098176321394,0.911109018236786,-2.3272518639554587
187,6,SELL_ligand_receptor_target_gene_GP,0.9093800302917744,0.09061996970822561,2.30608847696052
188,11,CLU_combined_GP,0.09062326062022735,0.9093767393797727,-2.306048543233582
